freq,psd_x,psd_y,psd_z,psd_xyz
70.4,2.133e+04,1.354e+05,1.381e+03,1.581e+05
71.9,2.677e+04,1.326e+05,1.121e+03,1.604e+05
73.4,3.028e+04,1.242e+05,8.362e+02,1.554e+05
75.0,2.814e+04,1.095e+05,5.807e+02,1.383e+05
76.5,2.683e+04,9.317e+04,5.168e+02,1.205e+05
78.0,2.676e+04,7.676e+04,7.656e+02,1.043e+05
79.6,2.538e+04,6.057e+04,9.639e+02,8.691e+04
81.1,2.156e+04,4.515e+04,1.052e+03,6.776e+04
82.6,1.720e+04,3.650e+04,9.214e+02,5.462e+04
84.1,1.463e+04,3.740e+04,8.363e+02,5.286e+04
85.7,1.387e+04,4.486e+04,1.430e+03,6.016e+04
87.2,1.259e+04,4.912e+04,1.970e+03,6.369e+04
88.7,1.204e+04,5.006e+04,2.376e+03,6.447e+04
90.3,1.157e+04,5.147e+04,2.869e+03,6.592e+04
91.8,1.112e+04,5.541e+04,3.160e+03,6.970e+04
93.3,8.479e+03,6.257e+04,3.308e+03,7.436e+04
94.9,6.638e+03,7.318e+04,3.829e+03,8.365e+04
96.4,7.151e+03,8.280e+04,4.726e+03,9.468e+04
97.9,5.905e+03,8.295e+04,5.547e+03,9.440e+04
99.4,4.256e+03,7.608e+04,4.451e+03,8.479e+04
101.0,3.524e+03,6.605e+04,3.062e+03,7.263e+04
102.5,3.540e+03,5.974e+04,2.498e+03,6.577e+04
104.0,3.636e+03,5.461e+04,2.227e+03,6.047e+04
105.6,3.293e+03,4.738e+04,2.068e+03,5.274e+04
107.1,3.550e+03,4.581e+04,1.851e+03,5.122e+04
108.6,4.122e+03,4.651e+04,1.608e+03,5.224e+04
110.2,3.942e+03,4.528e+04,1.827e+03,5.105e+04
111.7,3.734e+03,4.230e+04,2.015e+03,4.805e+04
113.2,3.531e+03,4.292e+04,2.039e+03,4.849e+04
114.7,3.448e+03,4.442e+04,2.364e+03,5.024e+04
116.3,3.952e+03,4.465e+04,2.716e+03,5.131e+04
117.8,3.837e+03,4.356e+04,2.792e+03,5.019e+04
119.3,3.403e+03,4.206e+04,2.889e+03,4.835e+04
120.9,3.395e+03,4.351e+04,2.871e+03,4.977e+04
122.4,3.895e+03,4.608e+04,2.721e+03,5.270e+04
123.9,3.381e+03,4.432e+04,2.637e+03,5.034e+04
125.5,2.592e+03,3.964e+04,3.800e+03,4.603e+04
127.0,3.389e+03,3.722e+04,6.963e+03,4.757e+04
128.5,5.012e+03,3.183e+04,1.002e+04,4.686e+04
130.0,8.239e+03,1.996e+04,1.240e+04,4.060e+04
131.6,9.266e+03,1.631e+04,9.389e+03,3.496e+04
133.1,4.378e+03,1.150e+04,3.827e+03,1.971e+04
134.6,1.903e+03,4.196e+03,1.393e+03,7.492e+03
136.2,1.303e+03,4.801e+03,1.110e+03,7.213e+03
137.7,8.878e+02,5.684e+03,1.528e+03,8.100e+03
139.2,6.916e+02,6.498e+03,1.219e+03,8.409e+03
140.8,5.551e+02,6.488e+03,8.371e+02,7.880e+03
142.3,5.933e+02,6.240e+03,1.059e+03,7.893e+03
143.8,7.678e+02,6.206e+03,1.555e+03,8.529e+03
145.3,7.888e+02,5.995e+03,1.393e+03,8.177e+03
146.9,8.835e+02,5.353e+03,6.927e+02,6.930e+03
148.4,9.203e+02,4.216e+03,3.091e+02,5.445e+03
149.9,7.925e+02,2.712e+03,3.159e+02,3.820e+03
151.5,5.137e+02,2.054e+03,5.039e+02,3.072e+03
153.0,4.245e+02,2.051e+03,3.807e+02,2.856e+03
154.5,5.311e+02,2.049e+03,3.675e+02,2.947e+03
156.1,5.415e+02,1.864e+03,4.838e+02,2.890e+03
157.6,7.799e+02,1.656e+03,7.343e+02,3.170e+03
159.1,1.151e+03,1.584e+03,9.860e+02,3.721e+03
160.6,1.484e+03,1.497e+03,1.122e+03,4.103e+03
162.2,1.701e+03,1.482e+03,1.169e+03,4.352e+03
163.7,1.662e+03,1.511e+03,1.262e+03,4.435e+03
165.2,1.598e+03,1.606e+03,1.529e+03,4.733e+03
166.8,1.259e+03,1.403e+03,1.481e+03,4.144e+03
168.3,9.738e+02,1.141e+03,1.229e+03,3.344e+03
169.8,1.079e+03,1.287e+03,1.321e+03,3.687e+03
171.4,1.336e+03,1.680e+03,1.628e+03,4.644e+03
172.9,1.479e+03,1.969e+03,1.521e+03,4.969e+03
174.4,1.712e+03,2.150e+03,1.474e+03,5.336e+03
175.9,1.878e+03,2.225e+03,1.428e+03,5.531e+03
177.5,1.994e+03,2.039e+03,1.470e+03,5.503e+03
179.0,2.000e+03,1.754e+03,1.534e+03,5.289e+03
180.5,1.768e+03,1.668e+03,1.267e+03,4.703e+03
182.1,1.837e+03,1.744e+03,9.603e+02,4.541e+03
183.6,1.993e+03,1.890e+03,7.712e+02,4.654e+03
185.1,2.073e+03,1.854e+03,6.162e+02,4.543e+03
186.7,1.935e+03,1.661e+03,4.686e+02,4.064e+03
188.2,1.613e+03,1.641e+03,3.465e+02,3.600e+03
189.7,1.194e+03,1.801e+03,4.280e+02,3.423e+03
191.2,8.385e+02,2.121e+03,6.686e+02,3.628e+03
192.8,7.360e+02,2.330e+03,7.249e+02,3.791e+03
194.3,7.599e+02,2.228e+03,6.134e+02,3.602e+03
195.8,5.158e+02,1.914e+03,5.319e+02,2.962e+03
197.4,4.361e+02,1.781e+03,5.213e+02,2.739e+03
198.9,4.491e+02,1.893e+03,5.095e+02,2.852e+03
