freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.169e+02,3.736e+02,1.226e+01,5.028e+02
1.5,9.470e+01,2.329e+02,5.114e+01,3.788e+02
3.1,3.467e+01,3.114e+01,5.613e+01,1.220e+02
4.6,3.390e+01,3.089e+02,5.643e+01,3.993e+02
6.1,3.353e+01,1.170e+03,5.931e+01,1.263e+03
7.6,3.743e+01,1.972e+03,6.041e+01,2.070e+03
9.2,3.947e+01,2.995e+03,6.331e+01,3.098e+03
10.7,3.696e+01,4.480e+03,1.263e+02,4.643e+03
12.2,4.449e+01,5.903e+03,2.130e+02,6.160e+03
13.8,9.350e+01,7.176e+03,1.697e+02,7.439e+03
15.3,1.632e+02,8.335e+03,1.224e+02,8.621e+03
16.8,8.804e+01,9.761e+03,1.131e+02,9.963e+03
18.4,8.777e+01,1.261e+04,9.970e+01,1.280e+04
19.9,8.981e+01,1.636e+04,9.054e+01,1.654e+04
21.4,1.204e+02,2.048e+04,1.627e+02,2.076e+04
22.9,5.818e+02,2.453e+04,2.763e+02,2.538e+04
24.5,7.735e+02,3.119e+04,2.474e+02,3.221e+04
26.0,6.077e+02,4.021e+04,1.624e+02,4.098e+04
27.5,5.862e+02,5.150e+04,2.333e+02,5.232e+04
29.1,6.217e+02,6.737e+04,4.520e+02,6.844e+04
30.6,8.646e+02,9.010e+04,6.499e+02,9.161e+04
32.1,1.703e+03,9.577e+04,6.405e+02,9.811e+04
33.7,5.841e+03,9.015e+04,3.604e+02,9.635e+04
35.2,3.336e+04,1.037e+05,1.756e+02,1.372e+05
36.7,8.535e+04,1.043e+05,3.878e+02,1.900e+05
38.2,9.342e+04,1.157e+05,1.284e+03,2.104e+05
39.8,9.652e+04,1.177e+05,1.868e+03,2.161e+05
41.3,9.127e+04,1.189e+05,1.412e+03,2.116e+05
42.8,1.104e+05,1.995e+05,1.435e+03,3.114e+05
44.4,1.622e+05,3.830e+05,1.947e+03,5.472e+05
45.9,2.686e+05,7.434e+05,2.659e+03,1.015e+06
47.4,4.173e+05,1.202e+06,2.748e+03,1.622e+06
49.0,4.433e+05,1.299e+06,2.369e+03,1.745e+06
50.5,3.348e+05,1.027e+06,3.406e+03,1.365e+06
52.0,2.513e+05,7.745e+05,4.157e+03,1.030e+06
53.5,1.788e+05,5.348e+05,4.072e+03,7.177e+05
55.1,1.160e+05,3.592e+05,3.749e+03,4.789e+05
56.6,7.116e+04,2.582e+05,4.111e+03,3.335e+05
58.1,4.197e+04,2.172e+05,4.607e+03,2.638e+05
59.7,2.757e+04,2.045e+05,3.850e+03,2.360e+05
61.2,2.659e+04,2.010e+05,3.000e+03,2.306e+05
62.7,2.869e+04,2.085e+05,2.389e+03,2.396e+05
64.3,2.709e+04,2.016e+05,1.880e+03,2.306e+05
65.8,2.467e+04,1.868e+05,1.504e+03,2.129e+05
67.3,2.108e+04,1.616e+05,1.337e+03,1.840e+05
68.8,1.903e+04,1.400e+05,1.401e+03,1.604e+05
