freq,psd_x,psd_y,psd_z,psd_xyz
134.5,1.522e+04,2.386e+04,3.414e+04,7.321e+04
136.1,1.354e+04,2.276e+04,3.310e+04,6.939e+04
137.6,1.365e+04,2.451e+04,3.587e+04,7.403e+04
139.1,1.145e+04,2.464e+04,3.263e+04,6.872e+04
140.7,8.527e+03,2.227e+04,2.643e+04,5.723e+04
142.2,7.015e+03,1.659e+04,2.280e+04,4.641e+04
143.7,6.856e+03,1.341e+04,2.237e+04,4.264e+04
145.2,6.719e+03,1.156e+04,2.165e+04,3.993e+04
146.8,6.797e+03,9.776e+03,2.108e+04,3.765e+04
148.3,6.262e+03,8.626e+03,2.044e+04,3.532e+04
149.8,6.817e+03,8.589e+03,2.198e+04,3.739e+04
151.4,5.625e+03,6.168e+03,1.754e+04,2.933e+04
152.9,3.648e+03,3.629e+03,1.161e+04,1.889e+04
154.4,2.300e+03,2.298e+03,7.595e+03,1.219e+04
155.9,1.723e+03,1.805e+03,5.684e+03,9.212e+03
157.5,2.169e+03,1.901e+03,6.390e+03,1.046e+04
159.0,2.365e+03,1.751e+03,6.459e+03,1.058e+04
160.5,1.979e+03,1.336e+03,5.118e+03,8.434e+03
162.1,1.361e+03,8.323e+02,3.209e+03,5.402e+03
163.6,8.525e+02,5.447e+02,1.983e+03,3.381e+03
165.1,5.606e+02,4.066e+02,1.325e+03,2.292e+03
166.7,5.194e+02,4.270e+02,1.352e+03,2.298e+03
168.2,5.964e+02,5.324e+02,1.796e+03,2.925e+03
169.7,8.293e+02,8.370e+02,2.796e+03,4.462e+03
171.2,9.590e+02,1.244e+03,3.771e+03,5.974e+03
172.8,1.134e+03,1.774e+03,5.077e+03,7.985e+03
174.3,1.108e+03,1.806e+03,4.887e+03,7.801e+03
175.8,9.209e+02,1.655e+03,4.050e+03,6.626e+03
177.4,6.859e+02,1.427e+03,2.891e+03,5.004e+03
178.9,6.382e+02,1.407e+03,2.608e+03,4.653e+03
180.4,7.951e+02,1.446e+03,2.953e+03,5.195e+03
181.9,8.678e+02,1.331e+03,3.138e+03,5.336e+03
183.5,9.919e+02,1.222e+03,3.423e+03,5.636e+03
185.0,1.064e+03,1.090e+03,3.383e+03,5.537e+03
186.5,1.150e+03,9.465e+02,3.419e+03,5.515e+03
188.1,1.224e+03,8.602e+02,3.813e+03,5.898e+03
189.6,1.166e+03,8.353e+02,4.104e+03,6.105e+03
191.1,1.237e+03,8.083e+02,4.470e+03,6.515e+03
192.6,1.292e+03,7.274e+02,4.627e+03,6.646e+03
194.2,1.451e+03,7.250e+02,5.228e+03,7.404e+03
195.7,1.501e+03,6.707e+02,5.089e+03,7.261e+03
197.2,1.440e+03,5.655e+02,4.707e+03,6.713e+03
198.8,1.454e+03,5.800e+02,4.764e+03,6.798e+03
