freq,psd_x,psd_y,psd_z,psd_xyz
147.0,1.013e+04,9.274e+03,4.471e+04,6.412e+04
148.5,1.087e+04,9.622e+03,4.576e+04,6.626e+04
150.0,1.253e+04,1.064e+04,5.010e+04,7.327e+04
151.6,1.260e+04,1.086e+04,4.907e+04,7.253e+04
153.1,1.150e+04,1.046e+04,4.514e+04,6.710e+04
154.6,1.138e+04,1.046e+04,4.337e+04,6.521e+04
156.1,1.155e+04,1.016e+04,4.277e+04,6.448e+04
157.7,1.135e+04,9.779e+03,4.159e+04,6.272e+04
159.2,1.115e+04,9.209e+03,4.022e+04,6.057e+04
160.7,1.034e+04,7.758e+03,3.699e+04,5.509e+04
162.3,8.985e+03,6.427e+03,3.266e+04,4.808e+04
163.8,7.886e+03,5.750e+03,2.949e+04,4.312e+04
165.3,6.909e+03,5.581e+03,2.732e+04,3.981e+04
166.9,6.085e+03,5.601e+03,2.534e+04,3.702e+04
168.4,5.809e+03,5.519e+03,2.376e+04,3.509e+04
169.9,5.868e+03,5.606e+03,2.310e+04,3.457e+04
171.5,6.920e+03,6.341e+03,2.681e+04,4.007e+04
173.0,8.475e+03,7.425e+03,3.325e+04,4.915e+04
174.5,8.766e+03,6.988e+03,3.452e+04,5.027e+04
176.0,8.861e+03,6.401e+03,3.428e+04,4.954e+04
177.6,8.346e+03,5.532e+03,3.194e+04,4.582e+04
179.1,7.866e+03,4.644e+03,2.980e+04,4.231e+04
180.6,7.648e+03,4.133e+03,2.875e+04,4.053e+04
182.2,7.430e+03,3.756e+03,2.771e+04,3.889e+04
183.7,7.057e+03,3.498e+03,2.621e+04,3.677e+04
185.2,6.587e+03,3.243e+03,2.416e+04,3.399e+04
186.8,6.276e+03,3.110e+03,2.309e+04,3.248e+04
188.3,6.020e+03,3.124e+03,2.316e+04,3.230e+04
189.8,5.577e+03,2.985e+03,2.253e+04,3.109e+04
191.4,5.324e+03,2.801e+03,2.195e+04,3.007e+04
192.9,5.029e+03,2.517e+03,2.148e+04,2.903e+04
194.4,4.819e+03,2.172e+03,2.052e+04,2.751e+04
195.9,4.397e+03,1.717e+03,1.956e+04,2.568e+04
197.5,3.916e+03,1.318e+03,1.862e+04,2.386e+04
199.0,3.800e+03,1.282e+03,1.882e+04,2.390e+04
