freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.389e+01,1.039e+02,1.096e+02,2.574e+02
1.5,6.004e+01,7.479e+01,9.846e+01,2.333e+02
3.1,4.813e+01,2.254e+01,6.114e+01,1.318e+02
4.6,5.356e+01,2.116e+01,3.417e+02,4.164e+02
6.1,4.937e+01,2.205e+01,1.213e+03,1.284e+03
7.7,4.977e+01,2.571e+01,1.993e+03,2.069e+03
9.2,5.373e+01,3.037e+01,2.882e+03,2.966e+03
10.7,5.224e+01,4.118e+01,4.106e+03,4.199e+03
12.2,5.971e+01,9.455e+01,5.198e+03,5.352e+03
13.8,6.528e+01,1.337e+02,6.544e+03,6.743e+03
15.3,7.405e+01,1.983e+02,8.632e+03,8.905e+03
16.8,1.164e+02,3.218e+02,1.112e+04,1.156e+04
18.4,1.399e+02,4.310e+02,1.364e+04,1.421e+04
19.9,1.519e+02,6.092e+02,1.672e+04,1.748e+04
21.4,1.994e+02,7.978e+02,1.926e+04,2.026e+04
23.0,3.544e+02,1.454e+03,2.311e+04,2.492e+04
24.5,8.507e+02,8.276e+03,3.155e+04,4.068e+04
26.0,1.375e+03,1.934e+04,3.316e+04,5.387e+04
27.6,2.384e+03,2.244e+04,3.472e+04,5.955e+04
29.1,3.880e+03,2.481e+04,3.993e+04,6.862e+04
30.6,4.711e+03,2.278e+04,3.515e+04,6.264e+04
32.1,7.264e+03,2.638e+04,3.229e+04,6.593e+04
33.7,9.914e+03,3.587e+04,3.291e+04,7.869e+04
35.2,1.344e+04,5.432e+04,3.433e+04,1.021e+05
36.7,1.814e+04,6.902e+04,3.268e+04,1.198e+05
38.3,2.012e+04,6.568e+04,2.792e+04,1.137e+05
39.8,1.946e+04,6.012e+04,2.458e+04,1.042e+05
41.3,2.371e+04,7.392e+04,2.035e+04,1.180e+05
42.9,2.760e+04,8.707e+04,1.771e+04,1.324e+05
44.4,3.099e+04,9.697e+04,1.575e+04,1.437e+05
45.9,3.417e+04,9.838e+04,1.586e+04,1.484e+05
47.5,3.654e+04,9.935e+04,1.798e+04,1.539e+05
49.0,3.787e+04,1.011e+05,1.918e+04,1.582e+05
50.5,3.941e+04,1.035e+05,1.884e+04,1.617e+05
52.0,3.684e+04,1.023e+05,1.846e+04,1.576e+05
53.6,2.927e+04,9.928e+04,1.896e+04,1.475e+05
55.1,2.329e+04,9.828e+04,2.143e+04,1.430e+05
56.6,1.779e+04,1.055e+05,1.930e+04,1.426e+05
58.2,1.130e+04,1.161e+05,1.462e+04,1.420e+05
59.7,6.525e+03,1.298e+05,1.133e+04,1.477e+05
61.2,3.876e+03,1.510e+05,9.140e+03,1.641e+05
62.8,2.582e+03,1.804e+05,8.574e+03,1.915e+05
64.3,2.167e+03,2.039e+05,8.972e+03,2.151e+05
65.8,1.824e+03,1.919e+05,9.615e+03,2.033e+05
67.4,1.596e+03,1.657e+05,8.563e+03,1.758e+05
68.9,2.206e+03,1.356e+05,7.513e+03,1.453e+05
70.4,3.176e+03,1.028e+05,7.018e+03,1.130e+05
72.0,4.089e+03,7.725e+04,5.833e+03,8.718e+04
73.5,4.749e+03,6.396e+04,5.239e+03,7.395e+04
75.0,4.778e+03,6.359e+04,5.691e+03,7.406e+04
76.5,4.450e+03,6.014e+04,7.380e+03,7.197e+04
78.1,4.278e+03,5.348e+04,8.340e+03,6.610e+04
79.6,5.030e+03,4.918e+04,1.101e+04,6.522e+04
81.1,5.532e+03,4.668e+04,1.665e+04,6.886e+04
82.7,5.725e+03,4.438e+04,2.238e+04,7.248e+04
84.2,7.340e+03,4.387e+04,2.649e+04,7.770e+04
85.7,1.065e+04,4.557e+04,3.106e+04,8.729e+04
87.3,1.393e+04,4.825e+04,3.471e+04,9.689e+04
88.8,1.585e+04,4.841e+04,3.674e+04,1.010e+05
90.3,1.741e+04,4.831e+04,3.928e+04,1.050e+05
91.9,1.929e+04,4.851e+04,4.236e+04,1.102e+05
93.4,2.126e+04,4.505e+04,4.671e+04,1.130e+05
94.9,2.265e+04,4.474e+04,5.085e+04,1.182e+05
96.4,2.348e+04,4.487e+04,5.541e+04,1.238e+05
98.0,2.490e+04,4.796e+04,6.129e+04,1.341e+05
99.5,2.728e+04,5.413e+04,6.466e+04,1.461e+05
101.0,2.917e+04,5.646e+04,6.248e+04,1.481e+05
102.6,2.943e+04,5.399e+04,5.652e+04,1.399e+05
104.1,2.868e+04,4.932e+04,4.837e+04,1.264e+05
105.6,2.783e+04,4.321e+04,4.002e+04,1.111e+05
107.2,2.728e+04,3.592e+04,3.485e+04,9.805e+04
108.7,2.726e+04,2.964e+04,3.541e+04,9.230e+04
110.2,2.735e+04,2.451e+04,3.973e+04,9.159e+04
111.8,2.902e+04,2.179e+04,4.621e+04,9.702e+04
113.3,3.109e+04,2.149e+04,5.258e+04,1.052e+05
114.8,3.202e+04,2.213e+04,5.227e+04,1.064e+05
116.3,3.625e+04,1.974e+04,5.507e+04,1.111e+05
117.9,4.457e+04,1.614e+04,6.790e+04,1.286e+05
119.4,5.700e+04,1.467e+04,9.314e+04,1.648e+05
120.9,7.463e+04,1.585e+04,1.320e+05,2.224e+05
122.5,9.173e+04,1.765e+04,1.810e+05,2.904e+05
124.0,1.154e+05,2.367e+04,2.570e+05,3.960e+05
125.5,1.430e+05,3.540e+04,3.448e+05,5.233e+05
127.1,1.555e+05,4.345e+04,4.045e+05,6.035e+05
128.6,1.745e+05,5.208e+04,5.002e+05,7.268e+05
130.1,1.935e+05,6.492e+04,5.920e+05,8.505e+05
131.7,1.924e+05,7.094e+04,6.144e+05,8.778e+05
133.2,8.174e+04,3.569e+04,2.691e+05,3.865e+05
134.7,1.131e+04,8.675e+03,3.994e+04,5.992e+04
136.2,9.146e+03,7.519e+03,3.434e+04,5.101e+04
137.8,1.011e+04,8.251e+03,4.037e+04,5.873e+04
139.3,1.086e+04,8.976e+03,4.504e+04,6.487e+04
140.8,1.141e+04,1.021e+04,4.713e+04,6.875e+04
142.4,1.060e+04,9.756e+03,4.468e+04,6.503e+04
143.9,1.023e+04,8.470e+03,4.487e+04,6.357e+04
145.4,1.004e+04,8.769e+03,4.464e+04,6.345e+04
