freq,psd_x,psd_y,psd_z,psd_xyz
173.0,8.619e+02,3.748e+03,1.309e+03,5.919e+03
174.5,9.822e+02,3.937e+03,1.421e+03,6.340e+03
176.1,1.128e+03,3.945e+03,1.238e+03,6.311e+03
177.6,1.228e+03,3.445e+03,1.204e+03,5.877e+03
179.1,1.304e+03,3.146e+03,1.104e+03,5.554e+03
180.6,1.420e+03,2.631e+03,9.650e+02,5.016e+03
182.2,1.618e+03,2.699e+03,8.338e+02,5.150e+03
183.7,1.647e+03,3.034e+03,6.819e+02,5.363e+03
185.2,1.364e+03,2.306e+03,4.929e+02,4.163e+03
186.8,9.987e+02,1.495e+03,4.363e+02,2.930e+03
188.3,6.580e+02,1.185e+03,5.188e+02,2.362e+03
189.8,4.802e+02,1.367e+03,6.386e+02,2.486e+03
191.4,3.638e+02,1.640e+03,6.103e+02,2.614e+03
192.9,3.193e+02,1.712e+03,5.600e+02,2.592e+03
194.4,2.756e+02,1.775e+03,5.657e+02,2.617e+03
196.0,1.979e+02,1.633e+03,5.015e+02,2.332e+03
197.5,1.806e+02,1.602e+03,4.845e+02,2.267e+03
199.0,1.689e+02,1.747e+03,5.130e+02,2.429e+03
